Date,20SMA,5SMA,Close
2011-09-20,5.42,5.86,5.96999979019165
2011-09-21,5.44,5.88,5.849999904632568
2011-09-22,5.46,5.85,5.730000019073486
2011-09-23,5.52,5.9,6.130000114440918
2011-09-26,5.57,6.02,6.429999828338623
2011-09-27,5.6,6.05,6.110000133514404
2011-09-28,5.63,6.1,6.119999885559082
2011-09-29,5.66,6.18,6.099999904632568
2011-09-30,5.67,6.05,5.5
2011-10-03,5.64,5.69,4.630000114440918
2011-10-04,5.64,5.47,5.0
2011-10-05,5.63,5.28,5.170000076293945
2011-10-06,5.65,5.13,5.349999904632568
2011-10-07,5.65,5.07,5.210000038146973
2011-10-10,5.68,5.21,5.329999923706055
2011-10-11,5.69,5.38,5.840000152587891
2011-10-12,5.71,5.59,6.230000019073486
2011-10-13,5.74,5.78,6.300000190734863
2011-10-14,5.74,5.95,6.039999961853027
2011-10-17,5.74,6.05,5.849999904632568
2011-10-18,5.75,6.09,6.019999980926514
2011-10-19,5.74,5.99,5.760000228881836
2011-10-20,5.76,5.94,6.010000228881836
2011-10-21,5.74,5.9,5.869999885559082
2011-10-24,5.72,5.92,5.949999809265137
2011-10-25,5.69,5.84,5.599999904632568
2011-10-26,5.67,5.82,5.659999847412109
2011-10-27,5.66,5.78,5.829999923706055
2011-10-28,5.68,5.8,5.940000057220459
2011-10-31,5.74,5.76,5.769999980926514
2011-11-01,5.76,5.74,5.5
2011-11-02,5.77,5.66,5.28000020980835
2011-11-03,5.78,5.62,5.610000133514404
2011-11-04,5.79,5.53,5.5
2011-11-07,5.8,5.46,5.389999866485596
2011-11-08,5.77,5.4,5.210000038146973
2011-11-09,5.71,5.35,5.050000190734863
2011-11-10,5.63,5.2,4.849999904632568
2011-11-11,5.58,5.1,5.010000228881836
2011-11-14,5.54,5.02,4.980000019073486
2011-11-15,5.48,4.93,4.78000020980835
2011-11-16,5.41,4.82,4.5
2011-11-17,5.33,4.73,4.400000095367432
2011-11-18,5.26,4.62,4.420000076293945
2011-11-21,5.18,4.47,4.25
2011-11-22,5.1,4.32,4.050000190734863
2011-11-23,5.02,4.22,4.0
2011-11-25,4.93,4.15,4.019999980926514
2011-11-28,4.84,4.12,4.269999980926514
2011-11-29,4.78,4.16,4.460000038146973
2011-11-30,4.74,4.29,4.71999979019165
2011-12-01,4.72,4.48,4.940000057220459
2011-12-02,4.68,4.65,4.840000152587891
2011-12-05,4.66,4.82,5.119999885559082
2011-12-06,4.66,4.97,5.25
2011-12-07,4.68,5.15,5.590000152587891
2011-12-08,4.69,5.23,5.340000152587891
2011-12-09,4.73,5.38,5.619999885559082
2011-12-12,4.76,5.49,5.630000114440918
2011-12-13,4.77,5.47,5.190000057220459
2011-12-14,4.81,5.47,5.590000152587891
2011-12-15,4.87,5.55,5.710000038146973
2011-12-16,4.96,5.66,6.179999828338623
2011-12-19,5.03,5.7,5.829999923706055
2011-12-20,5.11,5.85,5.940000057220459
2011-12-21,5.2,5.89,5.769999980926514
2011-12-22,5.29,5.88,5.699999809265137
2011-12-23,5.37,5.77,5.619999885559082
2011-12-27,5.42,5.69,5.400000095367432
2011-12-28,5.46,5.54,5.190000057220459
2011-12-29,5.48,5.43,5.230000019073486
2011-12-30,5.49,5.3,5.070000171661377
